source_text,target_text
75-90 % of the affected people have mild intellectual disability.,People with syndromic intellectual disabilities may have a `` typical look. ''
"A bandlike tightness around the chest or abdomen, weakness, tingling, numbness of the feet and legs, and difficulty voiding develop over hours to a few days.","Within hours to a few days, tingling, numbness, and muscle weakness develop in the feet and move upward. Urinating becomes difficult, although some people feel an urgent need to urinate (urgency)."
A disrupted ossicular chain may be repaired during tympanoplasty as well.,"If the ossicles have been damaged, they may be repaired at the same time."
"A posterior subcapsular cataract disproportionately affects vision because the opacity is located at the crossing point of incoming light rays. Such cataracts reduce visual acuity more when the pupil constricts (eg, in bright light, during reading). They are also the type most likely to cause loss of contrast as well as glare (halos and starbursts around lights), especially from bright lights or from car headlights while driving at night.","With a cataract near the back of the lens (posterior subcapsular cataract), the following symptoms are most common: Blurred vision (less visual acuity) when the pupil constricts (for example, in bright light or during reading); Loss of contrast; Halos and starbursts (glare) from bright lights or car headlights while driving at night."
Abdominal pain (usually starting in one quadrant and spreading to the whole abdomen) occurs in about 95 % of patients and can vary in severity with each attack.,"The pain usually starts in one part of the abdomen, then spreads throughout the entire abdomen. The severity of the pain may vary with each attack."
About 25 % of men have minimal symptoms.,Some men (about 25 %) have minimal symptoms.
"About 50 % of patients report constitutional symptoms such as fever, malaise, night sweats, weight loss, fatigue, and/or arthralgias.","Sometimes the disorder begins with fever, muscle and joint aches, loss of appetite, weight loss, and night sweats."
Adult patients who require parenteral support may benefit from teduglutide (a glucagon-like peptide-2 [ GLP-2 ] analog). The recommended dosage is 0.05 mg/kg body weight sc once/ day.,People who need TPN may be given injections of a drug called teduglutide. This drug may help reduce the amount of TPN people need.
"Advanced asbestosis may cause clubbing, dry bibasilar crackles, and, in severe cases, symptoms and signs of right ventricular failure (cor pulmonale).","Clubbing is enlargement of the tips of the fingers or toes and a change in the angle where the nails emerge. If the lungs are severely damaged, the heart may become strained, causing a type of heart failure (cor pulmonale)."
Affected knees commonly are much more swollen than painful; they are often hot but rarely red.,"The knees are commonly more swollen than painful, often hot to the touch, and, rarely, red."
"After an incubation period of about 1 to 12 weeks, a painless, red skin nodule slowly enlarges, becoming a raised, beefy red, moist, smooth, foul- smelling lesion.","Symptoms of granuloma inguinale usually begin 1 to 12 weeks after infection. The first symptom is a painless, red nodule that slowly enlarges into a round, raised, foul- smelling lump."
"Along the tendon, palpation elicits localized tenderness of varying severity.","Moving the joints near the tendon, even a little, may cause pain, depending on how severe the tendinitis is."
"Although preferred treatment for pneumococcal infections is a beta-lactam or macrolide antibiotic, treatment has become more challenging because resistant strains have emerged. Strains highly resistant to penicillin, ampicillin, and other beta-lactams are common worldwide. The most common predisposing factor to beta-lactam resistance is use of these drugs within the past several months.",Pneumococci that are resistant to penicillin are becoming more common.
"Although schizophrenia rarely manifests in early childhood, childhood factors influence disease onset in adulthood. These factors include Genetic predisposition; Intrauterine, birth, or postnatal complications; Viral CNS infections; Childhood trauma and neglect.","Factors that make people vulnerable to schizophrenia include the following: A genetic predisposition; Problems that occurred before, during, or after birth, such as influenza in the mother during the 2nd trimester of pregnancy, lack of oxygen during delivery, a low birth weight, and incompatibility of the mother's and infant's blood type; Infections of the brain; Cannabis use in early teen years."
"Although some infections are asymptomatic, most cause abrupt onset of an influenza-like illness with nonspecific symptoms such as fever, chills, myalgias, weakness, nausea, vomiting, cough.","Symptoms begin suddenly. They include fever, chills, muscle aches, weakness, nausea and/or vomiting, cough, headache, and malaise."
Although uncomfortable at times extremely so panic attacks are not medically dangerous.,Although panic attacks are uncomfortable at times extremely so they are not dangerous.
"An electrical shock can cause powerful muscle contractions or falls (eg, from a ladder or roof), resulting in dislocations (electrical shock is one of the few causes of posterior shoulder dislocation), vertebral or other fractures, injuries to internal organs, and other blunt force injuries.","A minor shock may cause muscle pain and may trigger mild muscle contractions or startle people, causing a fall. Severe shocks can cause abnormal heart rhythms, ranging from inconsequential to immediately fatal. Severe shocks can also trigger powerful muscle contractions sufficient to throw people to the ground or to cause joint dislocations, bone fractures, and other blunt injuries."
An oral iso-osmotic solution of sodium and glucose (similar to WHO oral rehydration formula see Oral Rehydration) is slowly introduced in the postoperative phase once the patient stabilizes and stool output is < 2 L/ day.,"As people recover and their stool output lessens, they are slowly given fluids by mouth."
Anosmia may very occasionally be an early sign of a degenerative brain disease such as Parkinson's disease and Alzheimer's disease.,"Anosmia can also point to different neurological conditions such as Parkinson's disease, Alzheimer 's disease, or Schizophrenia."
"Antidiarrheals, cholestyramine, proton pump inhibitors, vitamin supplements.","Sometimes antidiarrheal drugs, nutritional supplements, and proton pump inhibitors."
"Anxiety may last from a few seconds to years, though a longer duration is more characteristic of anxiety disorders.","Anxiety can last for any length of time, from a few seconds to years."
"Arthritis develops in about 60 % of patients within several months, occasionally up to 2 years, of disease onset (as defined by erythema migrans).","Arthritis develops in more than half of people, usually within several months."
"As the disease progresses, focal neurologic deficits often develop: Exaggeration of deep tendon reflexes; Extensor plantar response; Gait abnormalities; Weakness of an extremity; Hemiplegias; Pseudobulbar palsy with pathologic laughing and crying; Other signs of extrapyramidal dysfunction; Aphasias.","Usually, some aspects of mental function are not impaired because the strokes destroy tissue in only part of the brain. An arm or a leg may become weak or paralyzed. People may have difficulty speaking. Coordination may be lost, making walking unsteady. People may laugh or cry inappropriately. People may have difficulty controlling bladder function, resulting in urinary incontinence."
"Asbestosis is initially asymptomatic but can cause progressive dyspnea, nonproductive cough, and fatigue.",The first symptoms are a mild shortness of breath and a decreased ability to exercise. Smokers who have chronic bronchitis along with asbestosis may cough and wheeze.
"At bedside, patients are asked to identify common objects through sight, touch, or another sense.","Doctors ask the person to identify common objects by sight, touch, or another sense."
"Atherosclerosis is initially asymptomatic, often for decades. Symptoms and signs develop when lesions impede blood flow. Transient ischemic symptoms (eg, stable exertional angina, transient ischemic attacks, intermittent claudication) may develop when stable plaques grow and reduce the arterial lumen by > 70 %.","Symptoms depend on Where the affected artery is located; Whether the affected artery is gradually narrowed or suddenly blocked. With gradual narrowing, atherosclerosis usually does not cause symptoms until the interior of an artery is narrowed by more than 70 %."
